DZ11CD,IMD16
S01008213,6253
S01008214,1973
S01008215,4540
S01008216,5970
S01008217,5496
S01008218,3765
S01008219,2808
S01008220,1117
S01008221,788
S01008222,1579
S01008223,1525
S01008224,5124
S01008225,4350
S01008226,1473
S01008227,1817
S01008228,5323
S01008229,3058
S01008230,5488
S01008231,6256
S01008232,5927
S01008233,5476
S01008234,842
S01008235,3144
S01008236,3741
S01008237,2646
S01008238,2275
S01008239,3572
S01008240,6576
S01008241,6540
S01008242,4031
S01008243,5194
S01008244,5318
S01008245,5577
S01008246,5230
S01008247,4389
S01008248,4461
S01008249,4452
S01008250,4905
S01008251,6762
S01008252,6669
S01008253,3370
S01008254,3120
S01008255,3709
S01008256,2339
S01008257,3151
S01008258,5545
S01008259,3567
S01008260,2366
S01008261,2170
S01008262,3973
S01008263,4460
S01008264,5601
